IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
94,8.559,41.630258,3.84407369340371,368.566779136658,91,3,24575.1962130394
81,7.47,27.555136,3.76075482060044,346.990262031555,67,14,8569.56142017345
113,11.545,61.369392,2.65030529198194,381.431783676147,113,0,20919.3185185894
102,9.728,44.401259,4.17593094032219,363.927345275879,86,16,18910.5461544556
90,8.01,29.936702,2.47017634854772,349.237086296082,70,20,8545.93696924503
84,9.508,36.084299,3.7832679590249,354.627198219299,81,3,11705.6716179907
96,9.792,37.618271,2.64844608097388,355.154870986938,81,15,11053.5165611677
78,8.4,31.329168,3.77597413122407,348.573886871338,69,9,9342.78667103492
99,9.049,40.457871,3.90085113726507,362.858827590942,86,13,13292.3490409347
126,12.748,53.686144,2.28647199932878,366.504600524902,114,12,22010.9707993997
96,9.286,36.203035,5.23366706965463,347.544323921204,82,14,12435.1979551494
102,9.398,42.912528,3.45708368928484,360.307699203491,83,19,16602.67735941
96,9.358,41.642834,2.823295341866,363.284581184387,86,10,21711.9163890015
113,11.701,62.018027,3.71745665654747,383.89070892334,109,4,24036.1609514033
101,11.527,46.417938,2.29711479054796,366.231456756592,101,0,20551.716924272
108,10.195,45.521749,2.55491346564559,364.675770759583,92,16,20192.6520412732
90,10.217,44.252421,3.01679630293507,367.914772987366,85,5,13546.2530101169
90,9.608,49.760626,2.6877159545094,380.125189781189,90,0,17512.8974595032
101,8.915,44.213631,3.99863848547718,365.964777946472,85,16,17950.3683428995
105,8.44,35.43354,3.28287800143398,348.121899604797,72,33,9723.40088354987
81,9.303,33.941428,3.47157600073224,351.752675056458,77,4,12294.3902276049
99,11.135,34.805594,2.24394850652917,346.290726661682,94,5,7995.32237266457
81,8.469,24.147921,2.3273627234867,337.605047225952,70,11,5722.0473404629
92,9.179,35.776798,2.81264063262753,357.321213722229,80,12,10362.4229933557
96,9.469,40.190849,2.50171142756895,362.002327919006,85,11,14091.9918395938
113,11.796,47.314142,2.733361968361,356.945309638977,109,4,20010.8022230832
102,11.87,53.147608,3.23577798922992,368.021848678589,101,1,21675.8560346315
104,10.513,47.631188,3.75253138729558,361.512540817261,89,15,19167.8073334366
107,11.241,45.412467,3.12223501952648,363.453416824341,105,2,17434.9457452687
86,10.358,46.367315,2.2838857891445,371.697512626648,86,0,13663.8939230484
96,10.115,40.342287,2.69267385053088,358.061072349548,89,7,16533.5164464737
117,12.707,48.694577,2.29281238558701,365.524903297424,111,6,14887.0190283898
96,10.444,44.490529,3.38882919285453,361.714915275574,90,6,18572.5579118845
96,10.853,48.387448,4.62692070798755,364.890605926514,93,3,19649.3431869557
99,11.266,34.309963,2.24394850652917,349.876770973206,92,7,8166.19135301169
96,9.363,35.983471,3.14051726110569,350.80535030365,80,16,9190.03988502335
96,10.291,34.144858,2.24394850652917,348.008497238159,83,13,8862.7803574185
80,8.359,32.290197,2.95947063018672,357.909924507141,70,10,8593.26973216287
90,8.94,32.884837,2.82678732151574,352.657839775085,80,10,9483.41122038629
81,8.468,34.539664,3.64196792241274,355.98046875,75,6,11934.5095694782
96,8.106,40.295906,4.14235788000366,363.459908485413,79,17,14428.5065104806
88,7.759,27.992244,2.24394850652917,349.188761711121,74,14,8597.92919798449
103,10.174,37.745638,2.24394850652917,359.772742271423,93,10,8284.20636651063
87,9.042,29.953944,2.24394850652917,344.641355514526,82,5,8046.81342958419
89,8.891,35.134186,3.95226547244935,356.17730140686,71,18,11837.3332675512
